City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hobart,AU,-42.8794,147.3294,52.02,83,7,8.05,clear sky
Maymyo,MM,22.0333,96.4667,71.04,46,0,1.3,clear sky
Turukhansk,RU,65.8167,87.9833,32.11,99,100,13.85,snow
Tekirdag,TR,40.978,27.5085,45.75,75,89,5.46,overcast clouds
Barrow,US,71.2906,-156.7887,-0.08,76,100,8.72,overcast clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,68,0,8.95,clear sky
Bowen,AU,-20.0167,148.2333,72.39,84,96,9.04,overcast clouds
Tabuk,PH,17.4189,121.4443,72.86,94,49,0.87,scattered clouds
Moree,AU,-29.4667,149.85,60.82,82,9,8.05,clear sky
Atuona,PF,-9.8,-139.0333,79.07,74,10,16.46,clear sky
Kruisfontein,ZA,-34.0033,24.7314,65.75,79,99,3.44,overcast clouds
Necochea,AR,-38.5473,-58.7368,59.5,64,51,16.69,broken clouds
Pitanga,BR,-24.7572,-51.7614,65.79,99,100,2.68,overcast clouds
Lagoa,PT,39.05,-27.9833,60.71,81,71,20.42,broken clouds
Aswan,EG,24.0934,32.907,79.12,13,99,19.98,overcast clouds
Kavieng,PG,-2.5744,150.7967,81.97,75,34,8.66,scattered clouds
Chak Azam Sahu,PK,30.75,73.0333,81.91,12,0,4.38,clear sky
Bitung,ID,1.4451,125.1824,76.05,82,99,3.33,overcast clouds
The Valley,AI,18.217,-63.0578,81.1,65,75,13.8,broken clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,85,100,9.46,overcast clouds
Calama,CL,-22.4667,-68.9333,70.29,18,0,21.85,clear sky
Saint-Pierre,RE,-21.3393,55.4781,76.91,83,75,17.27,broken clouds
Lorengau,PG,-2.0226,147.2712,80.08,78,15,5.95,few clouds
Sakaiminato,JP,35.55,133.2333,60.4,89,100,3.18,overcast clouds
Luwuk,ID,-0.9516,122.7875,76.14,74,94,3.49,overcast clouds
Paso De Carrasco,UY,-34.8603,-56.0522,71.26,41,0,12.66,clear sky
La Ronge,CA,55.1001,-105.2842,19.6,74,100,11.63,overcast clouds
Thompson,CA,55.7435,-97.8558,29.82,76,100,11.43,overcast clouds
Padang,ID,-0.9492,100.3543,77.27,88,79,2.75,broken clouds
Iranduba,BR,-3.2847,-60.1861,80.92,75,85,5.39,moderate rain
Safford,US,32.834,-109.7076,72.52,30,0,28.77,clear sky
Hithadhoo,MV,-0.6,73.0833,83.66,68,45,11.56,scattered clouds
Norsup,VU,-16.0667,167.3833,79.7,80,96,2.62,overcast clouds
Oussouye,SN,12.485,-16.5469,73.85,66,54,13.38,broken clouds
Yatou,CN,37.15,122.3833,48.02,58,100,16.73,overcast clouds
Bodden Town,KY,19.2833,-81.25,84.97,74,75,17.27,broken clouds
Fairbanks,US,64.8378,-147.7164,37.49,39,0,10.36,clear sky
Gushikawa,JP,26.3544,127.8686,72.63,91,20,10.36,few clouds
Lensk,RU,60.7253,114.9278,14.95,97,88,2.59,overcast clouds
Georgetown,MY,5.4112,100.3354,80.53,83,40,0.0,thunderstorm
Matagami,CA,49.7502,-77.6328,42.62,66,21,14.09,few clouds
Port Lincoln,AU,-34.7333,135.8667,63.39,77,24,14.2,few clouds
Roald,NO,62.5833,6.1333,42.33,75,0,8.05,clear sky
Gigmoto,PH,13.7796,124.39,78.39,88,100,9.28,light rain
Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,10.36,broken clouds
Saint-Augustin,CA,51.226,-58.6502,36.36,100,83,5.82,broken clouds
Bugene,TZ,-1.5911,31.1403,61.63,82,100,2.82,overcast clouds
Careiro Da Varzea,BR,-3.2003,-59.8119,81.23,89,99,5.23,moderate rain
Buchanan,LR,5.8808,-10.0467,79.61,86,100,3.69,moderate rain
Barranca,PE,-10.75,-77.7667,71.13,72,16,12.24,few clouds
Quatre Cocos,MU,-20.2078,57.7625,77.09,81,43,18.03,light rain
Uzhhorod,UA,48.6167,22.3,47.84,65,5,5.68,clear sky
Dumas,US,35.8656,-101.9732,81.54,12,75,39.12,haze
Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,75,12,11.9,few clouds
Jinchang,CN,38.4953,102.1739,40.32,16,69,3.38,broken clouds
Linqiong,CN,30.4159,103.4609,67.26,71,98,2.98,overcast clouds
Opuwo,NA,-18.0607,13.84,66.94,64,39,8.05,scattered clouds
Kaka,TM,37.3482,59.6143,73.09,24,0,6.98,clear sky
Camara De Lobos,PT,32.6333,-16.9667,68.0,78,20,5.75,few clouds
Katherine,AU,-14.4667,132.2667,77.32,94,100,5.75,overcast clouds
Port Hardy,CA,50.6996,-127.4199,41.27,49,98,13.47,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,84.16,77,43,9.44,light rain
Esperance,AU,-33.8667,121.9,64.35,88,96,10.09,light rain
George Town,MY,5.4112,100.3354,80.53,83,40,0.0,thunderstorm
Pinsk,BY,52.1229,26.0951,39.74,70,6,10.69,clear sky
Nishihara,JP,26.1842,127.7558,72.68,94,75,10.36,broken clouds
Rawson,AR,-43.3002,-65.1023,63.57,27,5,16.08,clear sky
Fairfield,US,41.2668,-73.3162,70.34,54,75,12.66,broken clouds
Kenai,US,60.5544,-151.2583,42.03,58,0,8.05,clear sky
Saint-Joseph,RE,-21.3667,55.6167,75.58,84,55,17.13,light rain
Saint-Philippe,RE,-21.3585,55.7679,76.59,86,95,17.11,light rain
Champerico,GT,14.3,-91.9167,95.54,57,61,11.48,broken clouds
Salto,UY,-31.3833,-57.9667,73.87,43,91,5.99,overcast clouds
Santiago,CL,-33.4569,-70.6483,72.18,35,75,14.97,broken clouds
Natal,BR,-5.795,-35.2094,84.85,70,40,11.5,scattered clouds
Kaoma,ZM,-14.7833,24.8,68.97,78,98,4.83,overcast clouds
Tiznit,MA,29.5833,-9.5,56.35,71,22,11.92,few clouds
Lavrentiya,RU,65.5833,-171.0,17.06,87,100,9.33,overcast clouds
Caramay,PH,10.1815,119.236,76.78,87,99,3.2,overcast clouds
Buraydah,SA,26.326,43.975,79.32,15,17,12.53,few clouds
Husavik,IS,66.0449,-17.3389,35.2,74,100,11.81,overcast clouds
Honiara,SB,-9.4333,159.95,76.37,88,80,4.9,broken clouds
Longyearbyen,SJ,78.2186,15.6401,15.64,79,75,2.3,broken clouds
Linfen,CN,36.0889,111.5189,55.45,73,100,6.24,overcast clouds
Weyburn,CA,49.6668,-103.8511,26.83,42,100,17.45,overcast clouds
Alofi,NU,-19.0595,-169.9187,81.21,74,37,5.14,scattered clouds
Gueugnon,FR,46.6036,4.0629,60.75,72,100,1.92,overcast clouds
Hay River,CA,60.8156,-115.7999,9.36,74,100,7.29,overcast clouds
Mosquera,CO,4.7059,-74.2302,64.49,59,75,11.5,broken clouds
Puerto Escondido,MX,15.85,-97.0667,85.03,74,75,11.5,broken clouds
Chuy,UY,-33.6971,-53.4616,70.97,45,88,8.88,overcast clouds
Nurlat,RU,54.4277,50.8051,45.97,85,10,6.87,clear sky
Kilindoni,TZ,-7.9139,39.6668,81.59,76,100,10.74,overcast clouds
Magadan,RU,59.5667,150.8,3.15,80,88,7.99,overcast clouds
Copiapo,CL,-27.3667,-70.3333,62.29,32,0,8.1,clear sky
Sayyan,YE,15.1718,44.3244,63.25,28,0,8.05,clear sky
Dubrovnik,HR,42.6481,18.0922,53.24,62,0,2.3,clear sky
Severo-Kurilsk,RU,50.6789,156.125,25.74,84,97,3.98,overcast clouds
Samarai,PG,-10.6167,150.6667,82.72,76,96,9.8,overcast clouds
Camacupa,AO,-12.0167,17.4833,63.91,90,68,4.09,light rain
Bilibino,RU,68.0546,166.4372,-1.07,77,100,3.6,overcast clouds
Mecca,SA,21.4267,39.8261,84.18,36,0,3.44,clear sky
Provideniya,RU,64.3833,-173.3,19.87,92,100,17.38,light snow
Codrington,AU,-38.2667,141.9667,49.77,92,50,1.45,scattered clouds
Tyukhtet,RU,56.5389,89.3011,24.01,98,96,3.36,overcast clouds
Mahebourg,MU,-20.4081,57.7,77.25,80,35,19.17,light rain
Yelizovo,RU,53.1873,158.3805,23.14,67,0,8.95,clear sky
Shirvan,AZ,39.9509,48.8994,60.89,41,6,12.46,clear sky
Dubovyy Umet,RU,52.9763,50.2857,52.16,76,100,10.94,overcast clouds
Msowero,TZ,-6.5333,37.2,71.01,94,100,3.02,light rain
Jacareacanga,BR,-6.2222,-57.7528,79.66,92,100,3.02,light rain
Ambulu,ID,-8.345,113.6058,74.64,91,100,3.29,overcast clouds
Maceio,BR,-9.6658,-35.7353,85.44,61,20,11.5,few clouds
Kuala Terengganu,MY,5.3302,103.1408,78.73,86,79,0.83,broken clouds
Guerrero Negro,MX,27.9769,-114.0611,66.85,62,45,22.15,scattered clouds
Bubaque,GW,11.2833,-15.8333,74.7,79,100,16.15,overcast clouds
Lazaro Cardenas,MX,17.9583,-102.2,84.67,58,100,9.95,overcast clouds
New Norfolk,AU,-42.7826,147.0587,51.3,70,6,1.01,clear sky
Oranjestad,AW,12.524,-70.027,78.48,87,88,24.45,overcast clouds
College,US,64.8569,-147.8028,37.47,40,20,10.36,few clouds
Cidreira,BR,-30.1811,-50.2056,72.23,89,97,6.17,overcast clouds
Farafangana,MG,-22.8167,47.8333,74.41,87,73,10.65,moderate rain
Gogrial,SS,8.5332,28.1004,89.74,32,15,4.43,few clouds
Saldanha,ZA,-33.0117,17.9442,63.28,85,100,10.33,overcast clouds
Ambovombe,MG,-25.1667,46.0833,74.1,81,100,18.81,overcast clouds
Tel Aviv-Yafo,IL,32.0805,34.7805,62.11,65,40,6.91,scattered clouds
Offa,NG,8.15,4.7167,73.13,88,100,6.4,moderate rain
Alekseyevsk,RU,57.8406,108.3492,16.66,98,62,1.5,broken clouds
Port Macquarie,AU,-31.4333,152.9167,62.49,100,100,0.0,overcast clouds
Faya,SA,18.3851,42.4509,66.72,41,63,2.53,broken clouds
Nuuk,GL,64.1835,-51.7216,32.61,64,20,8.05,few clouds
Guanare,VE,9.0418,-69.7421,93.4,37,68,3.04,broken clouds
Berlevag,NO,70.8578,29.0864,30.15,74,75,18.41,broken clouds
Kodiak,US,57.79,-152.4072,42.31,61,0,4.61,clear sky
Endicott,US,42.0984,-76.0494,66.56,44,0,8.01,clear sky
Minsk,BY,53.9,27.5667,42.55,58,100,9.51,overcast clouds
Salinopolis,BR,-0.6136,-47.3561,79.3,87,100,9.75,moderate rain
Pocone,BR,-16.2567,-56.6228,92.57,43,78,7.99,broken clouds
Kinshasa,CD,-4.3246,15.3215,78.46,79,100,3.09,light rain
Roma,US,43.2128,-75.4557,63.37,45,0,14.97,clear sky
Astana,KZ,51.1801,71.446,46.35,42,0,20.13,clear sky
Sola,VU,-13.8833,167.55,81.75,66,65,6.93,broken clouds
Pointe Michel,DM,15.25,-61.3833,79.68,67,35,13.27,scattered clouds
Mahenge,TZ,-8.6833,36.7167,63.59,95,100,2.26,moderate rain
Kondopoga,RU,62.2057,34.2614,32.7,98,100,1.79,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,39.74,45,100,10.49,overcast clouds
Agadir,MA,30.4202,-9.5982,66.65,61,7,18.61,clear sky
Korla,CN,41.7597,86.1469,59.81,18,100,11.92,overcast clouds
Iqaluit,CA,63.7506,-68.5145,18.7,79,13,10.0,few clouds
Kaili,ID,-3.4626,120.2147,65.86,92,100,3.38,overcast clouds
Zhanaozen,KZ,43.3,52.8,73.26,27,64,27.54,broken clouds
Kaitangata,NZ,-46.2817,169.8464,46.87,82,100,4.88,overcast clouds
Bambanglipuro,ID,-7.95,110.2833,75.72,87,34,3.87,scattered clouds
Dunedin,NZ,-45.8742,170.5036,52.81,70,7,8.01,clear sky
Bisert,RU,56.8617,59.0523,35.19,94,73,7.43,broken clouds
Rudnyy,KZ,52.9594,63.1206,46.63,88,76,8.5,broken clouds
Port Elizabeth,ZA,-33.918,25.5701,67.32,87,98,4.0,overcast clouds
Mercedes,AR,-34.6515,-59.4307,69.64,29,7,14.74,light rain
Mavelikara,IN,9.2667,76.55,78.13,90,100,2.53,overcast clouds
Maple Creek,CA,49.9168,-109.4848,21.63,44,100,18.07,overcast clouds
Huarmey,PE,-10.0681,-78.1522,73.74,71,9,13.56,clear sky
Colares,PT,38.7992,-9.4469,61.32,71,40,15.01,scattered clouds
Ca Mau,VN,9.1769,105.15,77.23,88,9,4.03,clear sky
Leh,IN,34.1667,77.5833,33.22,69,100,4.92,overcast clouds
Atar,MR,20.5169,-13.0499,92.01,11,77,11.48,broken clouds
Namibe,AO,-15.1961,12.1522,75.22,75,0,8.21,light rain
Vestmannaeyjar,IS,63.4427,-20.2734,43.2,69,55,23.04,broken clouds
Sovetskiy,RU,61.3614,63.5842,36.07,98,100,7.63,overcast clouds
Dakar,SN,14.6937,-17.4441,72.48,86,100,16.31,overcast clouds
Byron Bay,AU,-28.65,153.6167,64.94,82,96,8.63,overcast clouds
Khasan,RU,42.4308,130.6434,40.35,75,65,5.88,broken clouds
Okhotsk,RU,59.3833,143.3,5.65,90,87,9.4,overcast clouds
Kavaratti,IN,10.5669,72.642,84.47,71,100,5.77,overcast clouds
Waingapu,ID,-9.6567,120.2641,76.41,77,100,5.28,overcast clouds
Meulaboh,ID,4.1363,96.1285,77.45,88,83,2.77,broken clouds
Etchoropo,MX,26.7667,-109.6667,87.42,54,0,17.05,clear sky
Deniliquin,AU,-35.5333,144.9667,49.14,82,0,7.29,clear sky
Denizli,TR,37.8402,29.0698,46.27,57,0,2.82,clear sky
Mogok,MM,22.9167,96.5,66.87,60,0,2.24,clear sky
Manzanillo,CU,20.3433,-77.1167,88.88,45,60,15.82,broken clouds
Paramonga,PE,-10.6667,-77.8333,71.38,74,14,12.48,few clouds
Pemba,MZ,-12.974,40.5178,81.79,74,35,12.35,scattered clouds
Port Augusta,AU,-32.5,137.7667,65.14,48,6,4.97,clear sky
Kaitong,CN,44.8135,123.15,39.45,38,0,5.55,clear sky
Sorong,ID,-0.8833,131.25,81.27,78,100,6.73,overcast clouds
Pucallpa,PE,-8.3791,-74.5539,89.64,62,40,9.22,scattered clouds
Ilulissat,GL,69.2167,-51.1,30.22,55,0,5.75,clear sky
Luderitz,NA,-26.6481,15.1594,62.49,81,0,4.92,clear sky
Kashary,RU,49.04,41.0056,57.18,81,100,5.12,light rain
Narasannapeta,IN,18.4167,84.05,79.93,87,57,9.28,broken clouds
Virginia Beach,US,36.8529,-75.978,78.84,48,9,8.55,clear sky
Verkhnevilyuysk,RU,63.4453,120.3167,8.13,99,100,1.5,overcast clouds
Lang Suan,TH,9.9456,99.0785,77.23,91,89,4.5,overcast clouds
Sakakah,SA,29.9697,40.2064,72.97,21,0,9.26,clear sky
Solsona,ES,41.994,1.5171,54.97,95,100,7.02,overcast clouds
Nouakchott,MR,18.0858,-15.9785,73.33,67,34,16.15,scattered clouds
Tanout,NE,14.9709,8.8879,92.1,8,4,9.89,clear sky
Rundu,NA,-17.9333,19.7667,72.16,57,79,0.36,broken clouds
Torbay,CA,47.6666,-52.7314,41.29,78,100,25.32,overcast clouds
San Cristobal,VE,7.7669,-72.225,82.58,55,34,6.58,scattered clouds
Nanortalik,GL,60.1432,-45.2371,36.36,66,100,4.52,overcast clouds
Mayumba,GA,-3.432,10.6554,78.39,87,38,4.59,scattered clouds
Muncie,US,40.1934,-85.3864,67.93,70,100,8.05,overcast clouds
Jasper,US,37.2001,-94.3502,79.45,61,20,33.38,few clouds
Tiarei,PF,-17.5333,-149.3333,84.22,74,15,17.9,few clouds
Nome,US,64.5011,-165.4064,35.67,64,100,3.44,overcast clouds
Olenegorsk,RU,68.15,33.3,22.28,93,55,2.3,broken clouds
Roebourne,AU,-20.7833,117.1333,80.96,33,4,4.05,clear sky
Dicabisagan,PH,17.0818,122.4157,75.42,88,100,5.28,overcast clouds
Warrington,GB,53.3925,-2.5802,57.87,87,75,9.22,broken clouds
Birin,NP,26.8865,88.0718,61.93,79,97,3.0,overcast clouds
Tanete,ID,-3.9443,119.7848,73.56,93,100,1.9,overcast clouds
Vao,NC,-22.6667,167.4833,75.78,72,1,12.24,clear sky
Mgandu,TZ,-5.95,34.1333,66.72,73,79,7.56,broken clouds
Sur,OM,22.5667,59.5289,86.56,31,0,7.58,clear sky
Tarko-Sale,RU,64.9225,77.785,33.6,94,100,16.04,overcast clouds
Kerrville,US,30.0474,-99.1403,90.91,44,0,19.57,clear sky
Egvekinot,RU,66.3167,-179.1667,-0.96,89,100,12.46,overcast clouds
Iralaya,HN,15.0,-83.2333,82.72,72,25,11.77,scattered clouds
Sinnamary,GF,5.3833,-52.95,80.69,78,57,12.26,broken clouds
Pangnirtung,CA,66.1451,-65.7125,19.51,89,100,3.58,overcast clouds
Catamarca,AR,-28.4696,-65.7852,77.58,67,72,3.18,broken clouds
Manakara,MG,-22.1333,48.0167,72.88,84,72,4.36,light rain
Santa Fe,AR,-31.6333,-60.7,75.02,32,86,4.0,light rain
Ilinskiy,RU,55.619,38.1182,43.14,93,100,8.99,overcast clouds
Airai,TL,-8.9266,125.4092,61.54,81,100,1.86,moderate rain
Riyadh,SA,24.6877,46.7219,96.94,14,89,10.92,overcast clouds
Conceicao Do Araguaia,BR,-8.2578,-49.2647,86.9,61,100,3.13,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,87,75,14.97,broken clouds
Monrovia,LR,6.3005,-10.7969,73.17,86,100,6.96,overcast clouds
Disna,BY,55.568,28.1971,39.0,64,52,7.56,broken clouds
Hualmay,PE,-11.0964,-77.6139,71.71,73,17,11.45,few clouds
Leshukonskoye,RU,64.8989,45.7622,31.24,99,100,1.77,overcast clouds
Trussville,US,33.6198,-86.6089,81.25,58,75,14.97,broken clouds
Oblesevo,MK,41.8833,22.3339,49.39,51,0,4.09,clear sky
Kysyl-Syr,RU,63.8986,122.7617,-3.6,100,100,2.86,overcast clouds
Polistena,IT,38.406,16.08,54.36,75,100,4.38,overcast clouds
Margate,GB,51.3813,1.3862,56.7,79,100,4.0,overcast clouds
Maraa,BR,-1.8333,-65.3667,86.85,64,94,4.9,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,68.0,73,28,7.65,scattered clouds
Yukon,US,35.5067,-97.7625,84.18,54,40,32.21,scattered clouds
Christchurch,NZ,-43.5333,172.6333,50.95,89,100,0.0,overcast clouds
Uarini,BR,-2.99,-65.1083,84.43,81,92,2.71,overcast clouds
